str,slug,key,id
Asma Kat,dairenin_kati,APARTMENT_FLOOR , 59
Bahçe dublex kat,dairenin_kati,APARTMENT_FLOOR , 19
Bahçe katı,dairenin_kati,APARTMENT_FLOOR , 18
Çatı Katı,dairenin_kati,APARTMENT_FLOOR , 21
Çatı Dubleks kat,dairenin_kati,APARTMENT_FLOOR , 20
Düz giriş,dairenin_kati,APARTMENT_FLOOR , 14
Yüksek giriş,dairenin_kati,APARTMENT_FLOOR , 13
Kot 1 kat,dairenin_kati,APARTMENT_FLOOR , 56
Kot 2 kat,dairenin_kati,APARTMENT_FLOOR , 57
Kot 3 kat,dairenin_kati,APARTMENT_FLOOR , 58
Müstakil kat,dairenin_kati,APARTMENT_FLOOR , 54
Yarı bodrum kat,dairenin_kati,APARTMENT_FLOOR , 16
Tam bodrum kat,dairenin_kati,APARTMENT_FLOOR , 17
Yüksek bodrum kat,dairenin_kati,APARTMENT_FLOOR , 15
Villa tipi kat,dairenin_kati,APARTMENT_FLOOR , 55
1. kat,dairenin_kati,APARTMENT_FLOOR , 12
2. kat,dairenin_kati,APARTMENT_FLOOR , 11
3. kat,dairenin_kati,APARTMENT_FLOOR , 10
4. kat,dairenin_kati,APARTMENT_FLOOR , 9
5. kat,dairenin_kati,APARTMENT_FLOOR , 8
6. kat,dairenin_kati,APARTMENT_FLOOR , 7
7. kat,dairenin_kati,APARTMENT_FLOOR , 6
8. kat,dairenin_kati,APARTMENT_FLOOR , 5
9. kat,dairenin_kati,APARTMENT_FLOOR , 4
10. kat,dairenin_kati,APARTMENT_FLOOR , 22
11. kat,dairenin_kati,APARTMENT_FLOOR , 23
12. kat,dairenin_kati,APARTMENT_FLOOR , 24
13. kat,dairenin_kati,APARTMENT_FLOOR , 25
14. kat,dairenin_kati,APARTMENT_FLOOR , 26
15. kat,dairenin_kati,APARTMENT_FLOOR , 27
16. kat,dairenin_kati,APARTMENT_FLOOR , 28
17. kat,dairenin_kati,APARTMENT_FLOOR , 29
18. kat,dairenin_kati,APARTMENT_FLOOR , 30
19. kat,dairenin_kati,APARTMENT_FLOOR , 31
20. kat,dairenin_kati,APARTMENT_FLOOR , 32
21. kat,dairenin_kati,APARTMENT_FLOOR , 33
22. kat,dairenin_kati,APARTMENT_FLOOR , 34
23. kat,dairenin_kati,APARTMENT_FLOOR , 35
24. kat,dairenin_kati,APARTMENT_FLOOR , 36
